				
26.137650552	45.928644148	69.986169006	92.087065846	105.819925383
22.798957393	46.687499167	70.148450290	93.349293768	105.567856874
22.855023197	46.400000444	68.737989438	94.849161240	108.396322547
24.503054020	45.675249570	69.576389298	95.167448007	105.825701071
27.098960402	46.846130501	69.584433863	95.423723038	110.288964928
22.138278123	46.113131818	69.567751830	89.787174539	110.845289822
23.027993953	48.583420047	68.958999653	88.450162609	110.992933921
27.171589260	48.233272150	69.604485926	89.049252164	106.200862437
27.017353720	46.312383480	69.167508087	89.167757239	106.350770715
27.209344813	46.828992072	70.396843454	90.174607851	105.830649643
27.084460607	47.000242930	70.133813379	85.849608154	107.028886077
22.525861270	47.812389116	69.740487806	79.557717282	106.443174868
18.792695231	45.670728129	70.243218865	80.032693727	107.018231521
19.742800808	46.241774962	69.217618242	81.341016254	105.993085261
18.659383166	47.379593341	69.192784175	83.453756881	106.764594761
22.201147879	45.875952052	69.793483970	83.438691405	106.537393173
18.359594045	47.192242822	69.317322591	83.975088931	106.747843015
20.976224564	47.945778323	69.483809908	83.701101462	111.959189159
26.301350060	48.192034563	69.554155826	83.074126921	107.213174684
22.187296470	47.370846135	69.461030341	83.581549527	106.556049853
26.967218227	48.517413325	69.925617163	83.380179203	106.931062522
25.571474381	48.004263128	68.921186194	83.737497632	109.268041990
27.068002753	47.553976459	71.017811440	83.758135460	119.447907431
22.313391866	46.754491307	68.484449040	83.364145726	111.249914734
22.288670217	45.875614258	69.209438755	82.787479378	106.948129980
27.394711632	47.887510264	69.637223191	82.175046944	111.470384517
27.149298176	47.367808497	69.146816997	79.728689054	111.963764300
23.596932777	45.945865276	68.534363398	79.874919556	111.467670828
22.958627348	49.579158276	68.584114736	82.100638628	111.573262039
21.938665479	46.612354854	69.837769544	83.337750862	112.401147991
